name,id,latitude,longitude,display_name,zone,total_lines,rail
Acton Town,1,51.5028,-0.2801,Acton<br />Town,3,2,0
Aldgate,2,51.5143,-0.0755,NULL,1,2,0
Aldgate East,3,51.5154,-0.0726,Aldgate<br />East,1,2,0
All Saints,4,51.5107,-0.013,All<br />Saints,2,1,0
Alperton,5,51.5407,-0.2997,NULL,4,1,0
Amersham,6,51.6736,-0.607,NULL,10,1,1
Angel,7,51.5322,-0.1058,NULL,1,1,0
Archway,8,51.5653,-0.1353,NULL,2.5,1,0
Arnos Grove,9,51.6164,-0.1331,Arnos<br />Grove,4,1,0
Arsenal,10,51.5586,-0.1059,NULL,2,1,0
Baker Street,11,51.5226,-0.1571,Baker<br />Street,1,5,0
Balham,12,51.4431,-0.1525,NULL,3,1,1
Bank,13,51.5133,-0.0886,NULL,1,4,0
Barbican,14,51.5204,-0.0979,NULL,1,3,0
Barking,15,51.5396,0.081,NULL,4,2,1
Barkingside,16,51.5856,0.0887,NULL,5,1,0
Barons Court,17,51.4905,-0.2139,Barons<br />Court,2,2,0
Bayswater,18,51.5121,-0.1879,NULL,1,2,0
Beckton,19,51.5148,0.0613,NULL,3,1,0
Beckton Park,20,51.5087,0.055,Beckton<br />Park,3,1,0
Becontree,21,51.5403,0.127,NULL,5,1,0
Belsize Park,22,51.5504,-0.1642,Belsize<br />Park,2,1,0
Bermondsey,23,51.4979,-0.0637,NULL,2,1,0
Bethnal Green,24,51.527,-0.0549,Bethnal<br />Green,2,1,0
Blackfriars,25,51.512,-0.1031,NULL,1,2,0
Blackhorse Road,26,51.5867,-0.0417,Blackhorse<br />Road,3,1,1
Blackwall,27,51.5079,-0.0066,NULL,2,1,0
Bond Street,28,51.5142,-0.1494,Bond<br />Street,1,2,0
Borough,29,51.5011,-0.0943,NULL,1,1,0
Boston Manor,30,51.4956,-0.325,Boston<br />Manor,4,1,0
Bounds Green,31,51.6071,-0.1243,Bounds<br />Green,3.5,1,0
Bow Church,32,51.5273,-0.0208,Bow<br />Church,2,3,0
Bow Road,33,51.5269,-0.0247,Bow<br />Road,2,2,0
Brent Cross,34,51.5766,-0.2136,Brent<br />Cross,3,1,0
Brixton,35,51.4627,-0.1145,NULL,2,1,1
Bromley-By-Bow,36,51.5248,-0.0119,NULL,2.5,2,0
Buckhurst Hill,37,51.6266,0.0471,Buckhurst<br />Hill,5,1,0
Burnt Oak,38,51.6028,-0.2641,Burnt<br />Oak,4,1,0
Caledonian Road,39,51.5481,-0.1188,Caledonian<br />Road,2,1,0
Camden Town,40,51.5392,-0.1426,Camden<br />Town,2,1,0
Canada Water,41,51.4982,-0.0502,Canada<br />Water,2,2,0
Canary Wharf,42,51.5051,-0.0209,Canary<br />Wharf,2,2,0
Canning Town,43,51.5147,0.0082,Canning<br />Town,3,2,0
Cannon Street,44,51.5113,-0.0904,Cannon<br />Street,1,2,0
Canons Park,45,51.6078,-0.2947,Canons<br />Park,5,1,0
Chalfont & Latimer,46,51.6679,-0.561,Chalfont &<br />Latimer,9,1,1
Chalk Farm,47,51.5441,-0.1538,Chalk<br />Farm,2,1,0
Chancery Lane,48,51.5185,-0.1111,Chancery<br />Lane,1,1,0
Charing Cross,49,51.508,-0.1247,Charing<br />Cross,1,2,1
Chesham,50,51.7052,-0.611,NULL,10,1,0
Chigwell,51,51.6177,0.0755,NULL,5,1,0
Chiswick Park,52,51.4946,-0.2678,Chiswick<br />Park,3,1,0
Chorleywood,53,51.6543,-0.5183,NULL,8,1,0
Clapham Common,54,51.4618,-0.1384,Clapham<br />Common,2,1,0
Clapham North,55,51.4649,-0.1299,Clapham<br />North,2,1,0
Clapham South,56,51.4527,-0.148,Clapham<br />South,2.5,1,0
Cockfosters,57,51.6517,-0.1496,NULL,5,1,0
Colindale,58,51.5955,-0.2502,NULL,4,1,0
Colliers Wood,59,51.418,-0.1778,Colliers<br />Wood,3,1,0
Covent Garden,60,51.5129,-0.1243,Covent<br />Garden,1,1,0
Crossharbour & London Arena,61,51.4957,-0.0144,Crossharbour &<br />London Arena,2,1,0
Croxley,62,51.647,-0.4412,NULL,7,1,0
Custom House,63,51.5095,0.0276,Custom<br />House,3,1,0
Cutty Sark,64,51.4827,-0.0096,Cutty<br />Sark,2.5,1,0
Cyprus,65,51.5085,0.064,NULL,3,1,0
Dagenham East,66,51.5443,0.1655,Dagenham<br />East,5,1,0
Dagenham Heathway,67,51.5417,0.1469,Dagenham<br />Heathway,5,1,0
Debden,68,51.6455,0.0838,NULL,6,1,0
Deptford Bridge,69,51.474,-0.0216,Deptford<br />Bridge,2.5,1,0
Devons Road,70,51.5223,-0.0173,Devons<br />Road,2,1,0
Dollis Hill,71,51.552,-0.2387,Dollis<br />Hill,3,1,0
Ealing Broadway,72,51.5152,-0.3017,Ealing<br />Broadway,3,2,1
Ealing Common,73,51.5101,-0.2882,Ealing<br />Common,3,2,0
Earl's Court,74,51.492,-0.1973,Earl's<br />Court,1.5,2,0
Eastcote,75,51.5765,-0.397,NULL,5,2,0
East Acton,76,51.5168,-0.2474,East<br />Acton,2,1,0
East Finchley,77,51.5874,-0.165,East<br />Finchley,3,1,0
East Ham,78,51.5394,0.0518,East<br />Ham,3.5,2,0
East India,79,51.5093,-0.0021,East<br />India,2.5,1,0
East Putney,80,51.4586,-0.2112,East<br />Putney,2.5,1,0
Edgware,81,51.6137,-0.275,NULL,5,1,0
Edgware Road (B),82,51.5199,-0.1679,Edgware<br />Road,1,1,0
Edgware Road (C),83,51.5203,-0.17,Edgware<br />Road,1,3,0
Elephant & Castle,84,51.4943,-0.1001,Elephant &<br />Castle,1.5,2,1
Elm Park,85,51.5496,0.1977,Elm<br />Park,6,1,0
Elverson Road,86,51.4693,-0.0174,Elverson<br />Road,2.5,1,0
Embankment,87,51.5074,-0.1223,NULL,1,4,0
Epping,88,51.6937,0.1139,NULL,6,1,0
Euston,89,51.5282,-0.1337,NULL,1,2,1
Euston Square,90,51.526,-0.1359,Euston<br />Square,1,3,0
Fairlop,91,51.596,0.0912,NULL,5,1,0
Farringdon,92,51.5203,-0.1053,NULL,1,3,1
Finchley Central,93,51.6012,-0.1932,Finchley<br />Central,4,1,0
Finchley Road,94,51.5472,-0.1803,Finchley<br />Road,2,2,0
Finsbury Park,95,51.5642,-0.1065,Finsbury<br />Park,2,1,1
Fulham Broadway,96,51.4804,-0.195,Fulham<br />Broadway,2,1,0
Gallions Reach,97,51.5096,0.0716,Gallions<br />Reach,3,1,0
Gants Hill,98,51.5765,0.0663,Gants<br />Hill,4,1,0
Gloucester Road,99,51.4945,-0.1829,Gloucester<br />Road,1,3,0
Golders Green,100,51.5724,-0.1941,Golders<br />Green,3,1,0
Goldhawk Road,101,51.5018,-0.2267,Goldhawk<br />Road,2,1,0
Goodge Street,102,51.5205,-0.1347,Goodge<br />Street,1,1,0
Grange Hill,103,51.6132,0.0923,Grange<br />Hill,5,1,0
Great Portland Street,104,51.5238,-0.1439,Great<br />Portland<br />Street,1,3,0
Greenford,105,51.5423,-0.3456,NULL,4,1,1
Greenwich,106,51.4781,-0.0149,NULL,2.5,1,1
Green Park,107,51.5067,-0.1428,Green<br />Park,1,3,0
Gunnersbury,108,51.4915,-0.2754,NULL,3,1,0
Hainault,109,51.603,0.0933,NULL,5,1,0
Hammersmith,110,51.4936,-0.2251,NULL,2,3,0
Hampstead,111,51.5568,-0.178,NULL,2.5,1,0
Hanger Lane,112,51.5302,-0.2933,Hanger<br />Lane,3,1,0
Harlesden,113,51.5362,-0.2575,NULL,3,1,0
Harrow & Wealdston,114,51.5925,-0.3351,Harrow &<br />Wealdston,5,1,1
Harrow-on-the-Hill,115,51.5793,-0.3366,Harrow-<br />on-the-Hill,5,1,1
Hatton Cross,116,51.4669,-0.4227,Hatton<br />Cross,5.5,1,0
"Heathrow Terminals 1, 2 & 3",117,51.4713,-0.4524,"Heathrow<br />Terminals<br />1, 2 & 3",6,1,0
Heathrow Terminal 4,118,51.4598,-0.4476,Heathrow<br />Terminal 4,6,1,0
Heathrow Terminal 5,,51.4715,-0.488,,,,
Hendon Central,119,51.5829,-0.2259,Hendon<br />Central,3.5,1,0
Heron Quays,120,51.5033,-0.0215,Heron<br />Quays,2,1,0
High Barnet,121,51.6503,-0.1943,High<br />Barnet,5,1,0
High Street Kensington,122,51.5009,-0.1925,High<br />Street<br />Kensington,1,2,0
Highbury & Islington,123,51.546,-0.104,Highbury &<br />Islington,2,1,1
Highgate,124,51.5777,-0.1458,NULL,3,1,0
Hillingdon,125,51.5538,-0.4499,NULL,6,2,0
Holborn,126,51.5174,-0.12,NULL,1,2,0
Holland Park,127,51.5075,-0.206,Holland<br />Park,2,1,0
Holloway Road,128,51.5526,-0.1132,Holloway<br />Road,2,1,0
Hornchurch,129,51.5539,0.2184,NULL,6,1,0
Hounslow Central,130,51.4713,-0.3665,Hounslow<br />Central,4,1,0
Hounslow East,131,51.4733,-0.3564,Hounslow<br />East,4,1,0
Hounslow West,132,51.4734,-0.3855,Hounslow<br />West,5,1,0
Hyde Park Corner,133,51.5027,-0.1527,Hyde<br />Park<br />Corner,1,1,0
Ickenham,134,51.5619,-0.4421,NULL,6,2,0
Island Gardens,135,51.4871,-0.0101,Island<br />Gardens,2,1,0
Kennington,136,51.4884,-0.1053,NULL,2,1,0
Kensal Green,137,51.5304,-0.225,Kensal<br />Green,2,1,0
Kensington (Olympia),138,51.4983,-0.2106,Kensington<br />(Olympia),2,1,1
Kentish Town,139,51.5507,-0.1402,Kentish<br />Town,2,1,1
Kenton,140,51.5816,-0.3162,NULL,4,1,0
Kew Gardens,141,51.477,-0.285,Kew<br />Gardens,3.5,1,0
Kilburn,142,51.5471,-0.2047,NULL,2,1,0
Kilburn Park,143,51.5351,-0.1939,Kilburn<br />Park,2,1,0
Kingsbury,144,51.5846,-0.2786,NULL,4,1,0
King's Cross St. Pancras,145,51.5308,-0.1238,King's Cross<br />St. Pancras,1,6,1
Knightsbridge,146,51.5015,-0.1607,NULL,1,1,0
Ladbroke Grove,147,51.5172,-0.2107,Ladbroke<br />Grove,2,1,0
Lambeth North,148,51.4991,-0.1115,Lambeth<br />North,1,1,0
Lancaster Gate,149,51.5119,-0.1756,Lancaster<br />Gate,1,1,0
Latimer Road,150,51.5139,-0.2172,Latimer<br />Road,2,1,0
Leicester Square,151,51.5113,-0.1281,Leicester<br />Square,1,2,0
Lewisham,152,51.4657,-0.0142,NULL,2.5,1,1
Leyton,153,51.5566,-0.0053,NULL,3,1,0
Leytonstone,154,51.5683,0.0083,NULL,3.5,1,0
Limehouse,155,51.5123,-0.0396,NULL,2,1,1
Liverpool Street,156,51.5178,-0.0823,Liverpool<br />Street,1,4,1
London Bridge,157,51.5052,-0.0864,London<br />Bridge,1,2,1
Loughton,158,51.6412,0.0558,NULL,6,1,0
Maida Vale,159,51.53,-0.1854,Maida<br />Vale,2,1,0
Manor House,160,51.5712,-0.0958,Manor<br />House,2.5,1,0
Mansion House,161,51.5122,-0.094,Mansion<br />House,1,2,0
Marble Arch,162,51.5136,-0.1586,Marble<br />Arch,1,1,0
Marylebone,163,51.5225,-0.1631,NULL,1,1,1
Mile End,164,51.5249,-0.0332,Mile<br />End,2,3,0
Mill Hill East,165,51.6082,-0.2103,Mill<br />Hill<br />East,4,1,0
Monument,166,51.5108,-0.0863,NULL,1,2,0
Moorgate,167,51.5186,-0.0886,NULL,1,4,1
Moor Park,168,51.6294,-0.432,Moor<br />Park,6.5,1,0
Morden,169,51.4022,-0.1948,NULL,4,1,0
Mornington Crescent,170,51.5342,-0.1387,Mornington<br />Crescent,2,1,0
Mudchute,171,51.4902,-0.0145,NULL,2,1,0
Neasden,172,51.5542,-0.2503,NULL,3,1,0
Newbury Park,173,51.5756,0.0899,Newbury<br />Park,4,1,0
New Cross,174,51.4767,-0.0327,New<br />Cross,2,1,1
New Cross Gate,175,51.4757,-0.0402,New<br />Cross<br />Gate,2,1,1
Northfields,176,51.4995,-0.3142,NULL,3,1,0
Northolt,177,51.5483,-0.3687,NULL,5,1,0
Northwick Park,178,51.5784,-0.3184,Northwick<br />Park,4,1,0
Northwood,179,51.6111,-0.424,NULL,6,1,0
Northwood Hills,180,51.6004,-0.4092,Northwood<br />Hills,6,1,0
North Acton,181,51.5237,-0.2597,North<br />Acton,2.5,1,0
North Ealing,182,51.5175,-0.2887,North<br />Ealing,3,1,0
North Greenwich,183,51.5005,0.0039,North<br />Greenwich,2.5,1,0
North Harrow,184,51.5846,-0.3626,North<br />Harrow,5,1,0
North Wembley,185,51.5621,-0.3034,North<br />Wembley,4,1,0
Notting Hill Gate,186,51.5094,-0.1967,Notting<br />Hill Gate,1.5,3,0
Oakwood,187,51.6476,-0.1318,NULL,5,1,0
Old Street,188,51.5263,-0.0873,Old<br />Street,1,1,1
Osterley,190,51.4813,-0.3522,NULL,4,1,0
